tech_id,enabled,productivity_percent,labor_substitution,resource_substitution,rationale
HighTemperatureSuperconductors,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
ImprovedShipbuildingTechniques,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
IndependenceMovements,true,0.607557,0.750,0.750,General economy social or governance spillover
IndustrializationofSpace,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
InertialPlasmaConfinementTechniques,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
InfraredCombatLasers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
InSituResourceUtilization,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
IntegratedEarthSpaceEconomy,true,1.215114,2.000,2.000,Direct general-purpose breakthrough
InterplanetaryPolities,true,1.215114,1.500,1.500,General economy social or governance spillover
KineticsWarfareDoctrine,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MagneticForceManipulation,true,0.303779,0.125,0.500,Energy materials mining or space-industry resource emphasis
MagneticNozzles,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MagneticPlasmaConfinementTechniques,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
MassDrivers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MilitarizationofSpace,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MindandMachine,true,1.215114,2.000,2.000,Direct general-purpose breakthrough
MissileWarfareDoctrine,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontoJupiter,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontoMars,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontoSaturn,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissionToSpace,true,1.000000,0.500,0.500,Broad secondary productivity spillover
MissiontotheAsteroids,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontotheInnerPlanets,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontotheMoon,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontotheOuterPlanets,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MissiontoVenus,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
MolecularAssemblers,true,2.430229,4.000,4.000,Direct general-purpose breakthrough
MoltenCoreFissionSystems,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
NetworkedGlobalDefense,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
NetworkedPropaganda,true,0.607557,0.750,0.750,General economy social or governance spillover
Neutronics,true,0.911336,0.375,1.500,Energy materials mining or space-industry resource emphasis
NextGenerationAerospace,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
NuclearFissioninSpace,true,0.303779,0.125,0.500,Energy materials mining or space-industry resource emphasis
NuclearFusioninSpace,true,1.822672,0.750,3.000,Energy materials mining or space-industry resource emphasis
OrbitalFighters,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
OrbitalRingHabs,true,0.607557,0.500,0.500,Broad secondary productivity spillover
OrbitalShipbuilding,true,0.303779,0.125,0.500,Energy materials mining or space-industry resource emphasis
OrbitalTorusHabs,true,1.215114,1.000,1.000,Broad secondary productivity spillover
OurSpaceFuture,true,1.215114,1.500,1.500,General economy social or governance spillover
OutpostHabs,true,0.303779,0.250,0.250,Broad secondary productivity spillover
ParticleCannon,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
PhasedArrayLasers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
PhotonicComputing,true,1.215114,2.000,0.500,Computing AI or automation with labor emphasis
PlasmaWeapons,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
PredictiveGenetics,true,0.607557,0.500,1.000,Biotechnology agriculture or life-science resource emphasis
PrinciplesofSpaceWarfare,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
ProtonProtonFusion,true,2.430229,1.000,4.000,Energy materials mining or space-industry resource emphasis
QuantumComputing,true,1.215114,2.000,0.500,Computing AI or automation with labor emphasis
QuantumEncryption,true,0.911336,0.750,0.750,Broad secondary productivity spillover
Railguns,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
SelfRepairingSoftware,true,0.607557,1.000,0.250,Computing AI or automation with labor emphasis
SettlementHabs,true,0.607557,0.500,0.500,Broad secondary productivity spillover
Skywatch,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
SolidCoreFissionSystems,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
SpaceAgriculture,true,0.303779,0.250,0.500,Biotechnology agriculture or life-science resource emphasis
SpaceAssaultDoctrine,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
SpaceCommerce,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
SpaceMedicine,true,0.303779,0.250,0.250,Broad secondary productivity spillover
SpaceMiningandRefining,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
SpaceNavies,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
SpaceResearch,true,0.303779,0.375,0.375,General economy social or governance spillover
SpaceTourism,true,0.303779,0.375,0.375,General economy social or governance spillover
Superalloys,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
Supercapacitors,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
SuperconductingMagnets,true,0.607557,0.250,1.000,Energy materials mining or space-industry resource emphasis
TargetedBiologicalWarfare,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
TerawattFusionReactors,true,2.430229,1.000,4.000,Energy materials mining or space-industry resource emphasis
TerrestrialMilitaryScience,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
TitanicSpacecraft,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
Tokamaks,true,0.911336,0.375,1.500,Energy materials mining or space-industry resource emphasis
TransformPhages,true,0.607557,0.500,1.000,Biotechnology agriculture or life-science resource emphasis
TransInterfaceWarfare,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
Ultracapacitors,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
UltravioletCombatLasers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
UnityMovements,true,0.607557,0.750,0.750,General economy social or governance spillover
VacuumElectrostaticPrinciples,true,0.303779,0.125,0.500,Energy materials mining or space-industry resource emphasis
VisibleCombatLasers,true,0.303779,0.063,0.063,Narrow military propulsion spacecraft or exploration spillover
WeAreNotAlone,true,0.303779,0.375,0.375,General economy social or governance spillover
WhiteCollarAutomation,true,1.822672,3.000,0.750,Computing AI or automation with labor emphasis
ZPinchTechniques,true,1.215114,0.500,2.000,Energy materials mining or space-industry resource emphasis
