feature_id,category,feature,vanilla_1_0_32,verdiss_0_2,maintained_main_0_2_5,current_mod,config_keys,implementation_refs,status,notes
control_cost,national values,Control-point maintenance cost,Vanilla economy-score scaling,Exponent sequence 1 0.98 0.95 0.90 0.85 0.80 across five legacy technologies,Flat reduction per technology,Preserved Verdiss exponent sequence,controlCost.enabled;controlCost.exponentOneTech;controlCost.exponentTwoTechs;controlCost.exponentThreeTechs;controlCost.exponentFourTechs;controlCost.exponentFiveTechs,ControlPointCostPatch,preserved,Alien zero-cost result remains zero
army_upkeep,national values,Army IP upkeep,Template home and away bases,Template base multiplied by military-tech scaling,Maintained main does not preserve the 0.2 formula,Configurable 1.0.32 bases multiplied by max 1 plus two per miltech above 3,army.enabled;army.homeBaseCost;army.awayBaseCost;army.technologyBaseline;army.costPerTechnologyLevel,ArmyUpkeepPatch,preserved,Defaults are home 0.5 and away 1.0
research,national values,Monthly national research,Vanilla nonlinear population and capped components,0.0037 linear population education squared 60 percent PCGDP floor democracy cohesion unrest and adviser effects,0.0064 plus additional offsets,Complete approved 0.2 formula,research.enabled;research.coefficient;research.referencePcgdp;research.minimumPcgdpMultiplier;research.educationExponent;research.democracyFloor;research.democracyExponent;research.cohesionCenter;research.cohesionPeak;research.cohesionPenaltyPerPoint;research.unrestGrace;research.unrestPenaltyDivisor,ResearchPatch,preserved,Adviser bonus remains the live game value
knowledge_education,knowledge,Knowledge education change,TI 1.0.32 Knowledge behavior,Population-scaled education with exponential decay,Population-scaled education with exponential decay and maintained tuning,Preserved Verdiss formula,knowledge.enabled;knowledge.educationPopulationDivisor;knowledge.educationMaximumGain;knowledge.educationDecay,KnowledgeEducationPatch,preserved,No maintained education multiplier added to Government
knowledge_cohesion,knowledge,Knowledge cohesion centering,TI 1.0.32 Knowledge behavior,Population-scaled centering toward 5,Population-scaled centering toward 5,Preserved Verdiss formula,knowledge.enabled;knowledge.cohesionPopulationDivisor;knowledge.cohesionTarget,KnowledgeCohesionPatch,preserved,Step cannot cross configured target
government_democracy,government,Government democracy change,Separate Government priority,Former Knowledge population-scaled democracy gain,Maintained version adds an education multiplier,Former Knowledge formula moved to Government without education multiplier,government.enabled;government.democracyPopulationDivisor,GovernmentDemocracyPatch,updated,Matches TI 1.0.32 priority naming
military_technology,military,Military technology growth,TI 1.0.32 Military behavior,Population-scaled growth plus catch-up bonus,Population-scaled growth plus catch-up bonus,Preserved Verdiss formula,military.enabled;military.technologyPopulationDivisor;military.catchupBonus,MilitaryTechnologyPatch,preserved,Catch-up never becomes a penalty
oppression_unrest,oppression,Oppression unrest reduction,Oppression owns unrest reduction in TI 1.0.32,Former Military population-scaled unrest reduction,Maintained Oppression formula changes additional behavior,Old Military formula moved to Oppression,oppression.enabled;oppression.unrestPopulationDivisor;oppression.fullDemocracy,OppressionUnrestPatch,updated,Democracy and current unrest bound the reduction
oppression_other,oppression,Oppression democracy and cohesion,Vanilla TI 1.0.32 behavior,Not an Oppression priority in old target,Maintained main rewrites both,Vanilla,oppression.enabled,none,vanilla,Deliberately does not adopt maintained democracy or cohesion behavior
spoils_money,spoils,Spoils money,Vanilla nation-scaled payout,Flat 240 plus diminishing 80 40 20 10 resource bonuses and low-government bonus,Flat payout with linear resource multiplier,Preserved Verdiss diminishing payout,spoilsMoney.enabled;spoilsMoney.baseMoney;spoilsMoney.firstResourceBonus;spoilsMoney.secondResourceBonus;spoilsMoney.thirdResourceBonus;spoilsMoney.laterResourceBonus;spoilsMoney.maximumLowGovernmentBonus;spoilsMoney.fullGovernment,SpoilsMoneyPatch,preserved,Maximum low-government bonus is 30 percent
spoils_other,spoils,Spoils propaganda sustainability greenhouse and completion flow,Vanilla TI 1.0.32 behavior,Multiple old rewrites,Maintained main rewrites,Vanilla,spoilsMoney.enabled,none,deferred,Money and inequality are the only Spoils mechanics in this slice
region_oil,region thresholds,Oil-region removal threshold,500 accumulated Economy IP,Mechanic predates Verdiss 0.2,Configurable shared multiplier,Configurable base and multiplier default to vanilla,regionThresholds.enabled;regionThresholds.multiplier;regionThresholds.oilRemovalInvestmentPoints,EconomyRegionThresholdPatch;PriorityTooltipPatch;ThresholdValues,implemented,Default 500
region_mining,region thresholds,Mining-region removal threshold,750 accumulated Economy IP,Mechanic predates Verdiss 0.2,Configurable shared multiplier,Configurable base and multiplier default to vanilla,regionThresholds.enabled;regionThresholds.multiplier;regionThresholds.miningRemovalInvestmentPoints,EconomyRegionThresholdPatch;PriorityTooltipPatch;ThresholdValues,implemented,Default 750
region_economic,region thresholds,Core-economic region upgrade threshold,1200 accumulated Economy IP,Mechanic predates Verdiss 0.2,Configurable shared multiplier,Configurable base and multiplier default to vanilla,regionThresholds.enabled;regionThresholds.multiplier;regionThresholds.economicUpgradeInvestmentPoints,EconomyRegionThresholdPatch;PriorityTooltipPatch;ThresholdValues,implemented,Default 1200
region_decolonization,region thresholds,Decolonization threshold,1000 accumulated Welfare IP,Mechanic predates Verdiss 0.2,Configurable shared multiplier,Configurable base and multiplier default to vanilla,regionThresholds.enabled;regionThresholds.multiplier;regionThresholds.decolonizationInvestmentPoints,DecolonizationThresholdPatch;PriorityTooltipPatch;ThresholdValues,implemented,Default 1000
region_fallout,region thresholds,Fallout-cleanup threshold,100 accumulated Environment IP,Mechanic predates Verdiss 0.2,Configurable shared multiplier,Configurable base and multiplier default to vanilla,regionThresholds.enabled;regionThresholds.multiplier;regionThresholds.falloutCleanupInvestmentPoints,FalloutCleanupThresholdPatch;PriorityTooltipPatch;ThresholdValues,implemented,Environment priority formula otherwise remains vanilla
ui_investment,ui,Investment tooltip,Vanilla localized tooltip,Whole-method replacement,Whole-method replacement,Vanilla tooltip plus EEO IP and upkeep section,ui.enabled;ui.expandedTooltips,InvestmentTooltipPatch,implemented,Postfix preserves upstream and vanilla text
ui_priorities,ui,Priority tooltips,Vanilla localized tooltips,Limited legacy tooltip changes,Threshold constant transpiler,Vanilla tooltip plus live Economy inequality and threshold sections,ui.enabled;ui.expandedTooltips,PriorityTooltipPatch,implemented,Weighted technology displays current total and cap
environment,environment,Environment priority formula,Vanilla TI 1.0.32 behavior,Legacy rewrites,Maintained rewrites sustainability and region effects,Vanilla,regionThresholds.enabled,FalloutCleanupThresholdPatch,deferred,Only the independently approved fallout threshold is configurable
unity,unity,Unity priority,Vanilla TI 1.0.32 behavior,Legacy rewrites,Maintained main rewrites including a known bound defect,Vanilla,enabled,none,deferred,Entirely deferred to the next slice
